Prerequisites,Course Name,Credits,Concurrent Enrollment
,AR 1010,3,False
AR 1010,AR 1020,3,False
,AR 1930,6,False
,AR 1980,3,False
,AR 2930,3,False
,AR 2980,3,False
,AR 3910,6,False
,AR 3930,3,False
,AR 3980,3,False
,AR 4910,6,False
,AR 4930,3,False
,AR 4980,3,False
,ART 1930,3,False
,ART 1980,3,False
,ART 2000,3,False
,ART 2025,3,False
,ART 2080,1,False
,ART 2090,2,False
,ART 2100,3,False
,ART 2120,3,False
,ART 2150,3,False
,ART 2200,3,False
,ART 2300,3,False
,ART 2400,3,False
,ART 2450,3,False
,ART 2460,3,False
,ART 2480,3,False
,ART 2490,3,False
,ART 2500,3,False
,ART 2600,3,False
,ART 2650,3,False
,ART 2700,3,False
,ART 2790,3,False
,ART 2800,1,False
,ART 2850,3,False
,ART 2930,4,False
,ART 2980,6,False
ART 2000;ART 2100;ART 2120;ART 2150,ART 3000,3,False
,ART 3025,3,False
ART 2200,ART 3200,3,False
ART 2200,ART 3300,3,False
,ART 3400,3,False
ART 2450,ART 3450,3,False
,ART 3480,3,False
ART 2500,ART 3500,3,False
ART 2700,ART 3700,3,False
ART 2800,ART 3800,1,False
,ART 3910,6,False
,ART 3930,3,False
,ART 3980,3,False
,ART 4000,3,False
ART 3200,ART 4200,3,False
,ART 4300,3,False
,ART 4400,3,False
ART 3450,ART 4450,3,False
,ART 4480,3,False
ART 3500,ART 4500,3,False
ART 3700,ART 4700,3,False
ART 3800,ART 4800,1,False
CORE 1500,ART 4850,1,False
,ART 4910,6,False
,ART 4930,4,False
,ART 4980,6,False
,ARTH 1000,3,False
,ARTH 1010,3,False
,ARTH 1020,3,False
,ARTH 1040,3,False
,ARTH 1070,3,False
,ARTH 1080,3,False
,ARTH 1090,3,False
,ARTH 1500,3,False
,ARTH 1700,3,False
,ARTH 1930,3,False
,ARTH 1980,3,False
CORE 1500,ARTH 2000,1,False
,ARTH 2020,3,False
,ARTH 2030,3,False
,ARTH 2050,3,False
,ARTH 2070,3,False
,ARTH 2100,3,False
,ARTH 2120,3,False
,ARTH 2140,3,False
,ARTH 2150,3,False
