Prerequisites,Concurrent Enrollment,Major,Course Name,Course Details,Credits,Repeatable
CHIN 2020,False,Chinese (CHIN),CHIN 3010,Proficiency in Chinese I: Language and Culture,3,False
CHIN 3010,False,Chinese (CHIN),CHIN 3020,Proficiency in Chinese II: Language and Culture,3,False
,False,Chinese (CHIN),CHIN 3100,Modern Chinese Fiction and Film,3,False
,False,Chinese (CHIN),CHIN 3150,Global Sinophone Fiction and Film,3,False
,False,Chinese (CHIN),CHIN 3910,Internship,6,True
,False,Chinese (CHIN),CHIN 3930,Special Topics,3,True
,False,Chinese (CHIN),CHIN 3980,Independent Study,3,True
,False,Chinese (CHIN),CHIN 4910,Internship,6,True
,False,Chinese (CHIN),CHIN 4930,Special Topics,3,True
,False,Chinese (CHIN),CHIN 4980,Independent Study,3,True
,False,Civil Engineering (CVNG),CVNG 1000,Intro to Civil Engineering,2,False
,False,Civil Engineering (CVNG),CVNG 1001,Civil Engineering Modeling,2,False
,False,Civil Engineering (CVNG),CVNG 1010,Freshman Engineering I,1,False
CVNG 1010,False,Civil Engineering (CVNG),CVNG 1020,Freshman Engineering II,1,False
"CVNG 1020, MATH 1510",True,Civil Engineering (CVNG),CVNG 1500,Civil Engineering Computing,3,False
,False,Civil Engineering (CVNG),CVNG 2010,GIS and Surveying in Civil Engineering,3,False
,False,Civil Engineering (CVNG),CVNG 2017,Spanish Civil Architectural Infrastructure: Ancient and Modern,3,False
"CVNG 2010, GIS 4010",True,Civil Engineering (CVNG),CVNG 2020,GIS and Surveying in Civil Engineering Lab,1,False
CVNG 1001,False,Civil Engineering (CVNG),CVNG 2070,Construction & Project Management,3,False
PHYS 1610,False,Civil Engineering (CVNG),CVNG 2100,Statics,3,False
"CVNG 1000, MATH 1510",False,Civil Engineering (CVNG),CVNG 2500,Civil Engineering Computing,3,False
,False,Civil Engineering (CVNG),CVNG 2910,Co-Op with Industry,0,True
,False,Civil Engineering (CVNG),CVNG 2930,Special Topics,3,True
,False,Civil Engineering (CVNG),CVNG 2980,Independent Study,3,True
,False,Civil Engineering (CVNG),CVNG 3010,Structural Analysis,3,False
,False,Civil Engineering (CVNG),CVNG 3020,Structural Analysis Lab,1,False
,False,Civil Engineering (CVNG),CVNG 3030,Civil Engineering Materials,1,False
,False,Civil Engineering (CVNG),CVNG 3031,Civil Engineering Materials Laboratory,2,False
CHEM 1110,False,Civil Engineering (CVNG),CVNG 3040,Sustainability and Environmental Engineering,3,False
CHEM 1115,False,Civil Engineering (CVNG),CVNG 3041,Sustainability and Environmental Engineering Lab,1,False
,False,Civil Engineering (CVNG),CVNG 3070,Engineering Project Management,2,False
CVNG 3030,False,Civil Engineering (CVNG),CVNG 3090,Geotechnical Engineering,3,False
,False,Civil Engineering (CVNG),CVNG 3100,Geotechnical Engineering Lab,1,False
MATH 3850,False,Civil Engineering (CVNG),CVNG 3110,Transportation Engineering,3,False
,False,Civil Engineering (CVNG),CVNG 3120,Transportation Engineering Lab,1,False
,False,Civil Engineering (CVNG),CVNG 3130,Hydraulic Engineering,3,False
,False,Civil Engineering (CVNG),CVNG 3140,Hydraulic Engineering Lab,1,False
"CVNG 3010, CVNG 3030",False,Civil Engineering (CVNG),CVNG 3150,Intro to Structural Design,3,False
,False,Civil Engineering (CVNG),CVNG 3160,Structural Design Lab,1,False
,False,Civil Engineering (CVNG),CVNG 3910,Co-Op with Industry,0,True
,False,Civil Engineering (CVNG),CVNG 3915,Internship with Industry,3,True
,False,Civil Engineering (CVNG),CVNG 3930,Special Topics,3,True
,False,Civil Engineering (CVNG),CVNG 3980,Independent Study,3,True
,False,Civil Engineering (CVNG),CVNG 4010,Senior Engineering,1,False
CVNG 3090,False,Civil Engineering (CVNG),CVNG 4030,Foundation Engineering,3,False
CVNG 3010,False,Civil Engineering (CVNG),CVNG 4050,Advanced Structural Analysis,3,True
CVNG 3010,False,Civil Engineering (CVNG),CVNG 4070,Structural Dynamics,3,False
CVNG 3150,False,Civil Engineering (CVNG),CVNG 4090,Advanced Reinforced Concrete,3,True
CVNG 3150,False,Civil Engineering (CVNG),CVNG 4110,Advanced Steel Design,3,False
CVNG 3150,False,Civil Engineering (CVNG),CVNG 4130,Bridge Engineering,3,False
CVNG 3150,False,Civil Engineering (CVNG),CVNG 4150,Prestressed Concrete,3,False
CVNG 3150,False,Civil Engineering (CVNG),CVNG 4170,Seismic Design,3,False
,False,Civil Engineering (CVNG),CVNG 4190,Sustainable Land Development Engineering,3,False
CVNG 3130,False,Civil Engineering (CVNG),CVNG 4210,Sustainable Water Resources Management,3,False
,False,Civil Engineering (CVNG),CVNG 4250,Water Treatment Processes,3,False
,False,Civil Engineering (CVNG),CVNG 4260,Environmental Solutions in  Developing Countries,3,False
CVNG 3130,False,Civil Engineering (CVNG),CVNG 4330,Open-Channel Flow,3,False
CVNG 3130,False,Civil Engineering (CVNG),CVNG 4350,Hydraulic Modeling,3,False
CVNG 3130,False,Civil Engineering (CVNG),CVNG 4370,River Engineering,3,False
CVNG 3110,False,Civil Engineering (CVNG),CVNG 4450,Traffic Engineering,3,False
CVNG 3110,False,Civil Engineering (CVNG),CVNG 4460,Multimodal Roadway Safety,3,False
CVNG 3110,False,Civil Engineering (CVNG),CVNG 4470,Urban Transportation Planning,3,False
CVNG 3110,False,Civil Engineering (CVNG),CVNG 4480,Traffic Simulation and Modelling,3,False
"CVNG 3040, CVNG 3090, CVNG 3110, CVNG 3130, CVNG 3150",False,Civil Engineering (CVNG),CVNG 4500,Capstone Design I,3,False
,False,Civil Engineering (CVNG),CVNG 4510,Capstone Design II,3,False
,False,Civil Engineering (CVNG),CVNG 4910,Co-Op with Industry,0,True
,False,Civil Engineering (CVNG),CVNG 4915,Internship with Industry,3,True
,False,Civil Engineering (CVNG),CVNG 4930,Special Topics,3,True
,False,Civil Engineering (CVNG),CVNG 4980,Independent Study,3,True
,False,Classical Humanities (CLH),CLH 1200,Greek Literature in Translation,3,False
,False,Classical Humanities (CLH),CLH 1210,Latin Literature in Translation,3,False
,False,Classical Humanities (CLH),CLH 1930,Special Topics,3,True
,False,Classical Humanities (CLH),CLH 1980,Independent Study,3,True
,False,Classical Humanities (CLH),CLH 2900,Mythology & Empire,3,True
,False,Classical Humanities (CLH),CLH 2930,Special Topics,3,True
,False,Classical Humanities (CLH),CLH 2980,Independent Study,3,True
,False,Classical Humanities (CLH),CLH 3300,Classical Identities,3,False
,False,Classical Humanities (CLH),CLH 3910,Internship,6,True
,False,Classical Humanities (CLH),CLH 3930,Special Topics,4,True
,False,Classical Humanities (CLH),CLH 3980,Independent Study,3,True
,False,Classical Humanities (CLH),CLH 4290,Intro to Classical Mythology,3,False
,False,Classical Humanities (CLH),CLH 4310,Greek Tragedy: Origin and Form,3,False
,False,Classical Humanities (CLH),CLH 4630,Greek Culture & Civilization,3,False
,False,Classical Humanities (CLH),CLH 4640,Roman Culture & Civilization,3,False
,False,Classical Humanities (CLH),CLH 4910,Internship,6,True
,False,Classical Humanities (CLH),CLH 4930,Special Topics,3,True
,False,Classical Humanities (CLH),CLH 4960,Senior Inquiry: Research Project,3,True
,False,Classical Humanities (CLH),CLH 4980,Advanced Independent Study,3,True
,False,Communication (CMM),CMM 1000,Human Communication and Culture,3,False
,False,Communication (CMM),CMM 1200,Public Speaking,3,False
,False,Communication (CMM),CMM 1210,Advocacy,3,False
,False,Communication (CMM),CMM 1220,Visual Rhetoric,3,False
,False,Communication (CMM),CMM 1250,Communicating in Groups and Teams,3,False
,False,Communication (CMM),CMM 1300,First Year Dialogue,3,False
ENGL 1900,False,Communication (CMM),CMM 1400,Film Criticism,3,False
,False,Communication (CMM),CMM 1500,Introduction to Digital Media Production,3,False
,False,Communication (CMM),CMM 1930,Special Topics,3,True
,False,Communication (CMM),CMM 1980,Independent Study,3,True
CMM 1000,False,Communication (CMM),CMM 2000,Communication Theory,3,False
"ENGL 1900, EAP 1900",False,Communication (CMM),CMM 2100,Journalism: News Writing,3,False
"ENGL 1900, EAP 1900",False,Communication (CMM),CMM 2120,Message Design,3,False
,False,Communication (CMM),CMM 2200,Small Group Presentation,1,False
,False,Communication (CMM),CMM 2300,Intergroup Dialogue,3,False
,False,Communication (CMM),CMM 2400,Media and Society,3,False
,False,Communication (CMM),CMM 2500,Media Lab,1,False
,False,Communication (CMM),CMM 2510,Video Production and Design,3,False
,False,Communication (CMM),CMM 2550,Photojournalism,3,False
CMM 1000,False,Communication (CMM),CMM 2800,Communication Research,3,False
,False,Communication (CMM),CMM 2930,Special Topics,3,True
,False,Communication (CMM),CMM 2980,Independent Study,3,True
,False,Communication (CMM),CMM 3000,Interpersonal Communication,3,False
,False,Communication (CMM),CMM 3060,Political Communication,3,False
,False,Communication (CMM),CMM 3090,Health Communication,3,False
CMM 2100,False,Communication (CMM),CMM 3110,Feature Writing,3,False
"CMM 2100, CMM 2120",False,Communication (CMM),CMM 3120,Media Scriptwriting,3,False
CMM 2100,False,Communication (CMM),CMM 3130,Editorial and Opinion Writing,3,False
,False,Communication (CMM),CMM 3200,Organizational Communication,3,False
,False,Communication (CMM),CMM 3300,Intercultural Communication,3,False
CMM 2100,False,Communication (CMM),CMM 3420,Literary Journalism,3,False
,False,Communication (CMM),CMM 3440,Media Ethics,3,False
CMM 2800,False,Communication (CMM),CMM 3460,International Cinema,3,False
,False,Communication (CMM),CMM 3500,Integrated Strategic Communication Principles,3,False
,False,Communication (CMM),CMM 3510,Studio Production,3,False
,False,Communication (CMM),CMM 3530,Documentary Production,3,False
,False,Communication (CMM),CMM 3560,Publication Design,3,False
,False,Communication (CMM),CMM 3600,Public Relations Principles and Practices,3,False
"CMM 2100, CMM 3600, CMM 3700, CMM 3500",False,Communication (CMM),CMM 3610,Writing for Public Relations,3,False
,False,Communication (CMM),CMM 3700,Advertising Principles and Practices,3,False
"CMM 2100, CMM 3700, CMM 3600, CMM 3500",False,Communication (CMM),CMM 3710,Copywriting,3,False
,False,Communication (CMM),CMM 3840,Analysis of Popular Culture,3,False
,False,Communication (CMM),CMM 3910,Internship,6,True
"CMM 2000, CMM 2800",False,Communication (CMM),CMM 3930,Special Topics,3,True
,False,Communication (CMM),CMM 3980,Independent Study,3,True
,False,Communication (CMM),CMM 4000,Family Communication,3,False
CMM 1000,False,Communication (CMM),CMM 4050,Theories of Persuasion,3,False
,False,Communication (CMM),CMM 4070,Social Justice Communication,3,False
CMM 2100,False,Communication (CMM),CMM 4100,Multiplatform Journalism,3,False
CMM 2100,False,Communication (CMM),CMM 4160,Editing,3,False
CMM 1000,False,Communication (CMM),CMM 4200,Leadership and Teams,3,False
CMM 1000,False,Communication (CMM),CMM 4220,"Conflict, Mediation and Negotiation",3,False
,False,Communication (CMM),CMM 4300,Gender and Communication,3,False
,False,Communication (CMM),CMM 4310,Dialogue Facilitation: Communication Strategies to Support Social Justice,6,False
CMM 1000,False,Communication (CMM),CMM 4320,Communicating Across Racial Divisions,3,False
,False,Communication (CMM),CMM 4350,Stereotyping and Bias in the Mass Media,3,False
,False,Communication (CMM),CMM 4420,Theory of Free Expression,3,False
,False,Communication (CMM),CMM 4430,"Culture, Technology and Communication",3,False
,False,Communication (CMM),CMM 4460,Global Media,3,False
,False,Communication (CMM),CMM 4470,Media and Politics,3,False
,False,Communication (CMM),CMM 4500,Digital Portfolios and Professional Practice,3,False
,False,Communication (CMM),CMM 4590,Advanced Media Practicum,3,True
"CMM 2800, CMM 3600, CMM 3700, MKT 3000, CMM 3500, CMM 4700",False,Communication (CMM),CMM 4600,Integrated Communications Campaigns,3,False
CMM 3500,False,Communication (CMM),CMM 4610,Social Media & Strategic Communication,3,False
"CMM 2800, CMM 3600, CMM 3700, MKT 3400, CMM 3500",False,Communication (CMM),CMM 4700,Applied Research and Campaign Planning,3,False
CMM 4700,False,Communication (CMM),CMM 4720,NSAC Advertising Competition,6,False
CMM 2800,False,Communication (CMM),CMM 4800,Introduction to the Ethnography of Communication,3,False
,False,Communication (CMM),CMM 4810,Digital Storytelling,3,False
"CORE 1000, CORE 1500",True,Communication (CMM),CMM 4820,Community-based Inquiry,3,False
"CORE 1000, CORE 1500",True,Communication (CMM),CMM 4830,Investigating Complexities in Health Communication:  Collaborative Research in Action,3,False
"CMM 2100, CMM 2120, CMM 1000, CMM 1200",False,Communication (CMM),CMM 4910,Internship,6,True
,False,Communication (CMM),CMM 4930,Special Topics,3,True
,False,Communication (CMM),CMM 4931,Special Topics,3,True
,False,Communication (CMM),CMM 4932,Special Topics,3,True
,False,Communication (CMM),CMM 4933,Special Topics,3,True
CMM 2800,False,Communication (CMM),CMM 4960,Senior Capstone,3,False
,False,Communication (CMM),CMM 4980,Advanced Independent Study,6,True
ENGL 4005,False,Communication-â€‹PS (CMMK),CMMK 4270,Advertising Principles and Practices,3,False
,False,Computer Information Systems (CIS),CIS 1150,Concepts & Applications of Technology,3,False
,False,Computer Information Systems (CIS),CIS 1375,Information Systems and Technology,3,False
CIS 1375,False,Computer Information Systems (CIS),CIS 1600,Introduction to Programming,3,False
,False,Computer Information Systems (CIS),CIS 2300,Data-Driven Decision Making,3,False
,False,Computer Information Systems (CIS),CIS 2750,Healthcare Information Systems Terminology,3,False
,False,Computer Information Systems (CIS),CIS 2775,Discrete Methods and Models,3,False
,False,Computer Information Systems (CIS),CIS 2875,Principles of Data Analysis,3,False
,False,Computer Information Systems (CIS),CIS 2930,Special Topics,3,True
,False,Computer Information Systems (CIS),CIS 2980,Independent Study,3,True
"CIS 1600, CIS 2750",False,Computer Information Systems (CIS),CIS 3000,System Analysis and Design,3,False
"CIS 1600, CIS 2750",False,Computer Information Systems (CIS),CIS 3100,Principles of Object Oriented Programming,3,False
,False,Computer Information Systems (CIS),CIS 3150,Workplace Ethics,3,False
"CIS 1600, CIS 2750",False,Computer Information Systems (CIS),CIS 3250,Cybersecurity Principles,3,False
"CIS 1600, MATH 1200",False,Computer Information Systems (CIS),CIS 3300,Database Analysis and Design,3,False
"CIS 1600, MATH 1200",False,Computer Information Systems (CIS),CIS 3600,Networking and Telecommunications I,3,False
"CIS 1375, CIS 1600",False,Computer Information Systems (CIS),CIS 3700,Web Application Development,3,False
"CIS 1600, CIS 2875",False,Computer Information Systems (CIS),CIS 3850,Analytics and Visualizations,3,False
CIS 3300,False,Computer Information Systems (CIS),CIS 3900,Information Organization and Representation,3,False
,False,Computer Information Systems (CIS),CIS 3930,Special Topics,3,True
,False,Computer Information Systems (CIS),CIS 3980,Independent Study,3,True
,False,Computer Information Systems (CIS),CIS 4050,Project Management,3,False
CIS 3000,False,Computer Information Systems (CIS),CIS 4100,Technology Strategy and Decision Making,3,False
"CIS 3300, CIS 3600",False,Computer Information Systems (CIS),CIS 4150,Data Governance,3,False
"CIS 1600, CIS 2875",False,Computer Information Systems (CIS),CIS 4250,Survey of Machine Learning,3,False
"CIS 3150, CIS 3300",False,Computer Information Systems (CIS),CIS 4300,The Fundamentals of Computer Forensics,3,False
CIS 3300,False,Computer Information Systems (CIS),CIS 4400,Information Systems in Healthcare Organizations,3,False
CIS 3700,False,Computer Information Systems (CIS),CIS 4550,Social and Organizational Computing,3,False
CIS 3250,False,Computer Information Systems (CIS),CIS 4600,Cyber Threats and Defense,3,False
CIS 3100,False,Computer Information Systems (CIS),CIS 4610,Development of Mobile Applications,3,False
CIS 3300,False,Computer Information Systems (CIS),CIS 4700,Advanced Database Systems,3,False
CIS 3100,False,Computer Information Systems (CIS),CIS 4720,Enterprise Application Development,3,False
CIS 3300,False,Computer Information Systems (CIS),CIS 4750,Data Mining,3,False
,False,Computer Information Systems (CIS),CIS 4800,Computer Information Systems Capstone Experience,3,True
,False,Computer Information Systems (CIS),CIS 4930,Special Topics,3,True
,False,Computer Information Systems (CIS),CIS 4980,Independent Study,3,True
,False,Computer Science (CSCI),CSCI 1010,Introduction to Computer Science: Principles,3,False
,False,Computer Science (CSCI),CSCI 1020,Introduction to Computer Science: Bioinformatics,3,False
,False,Computer Science (CSCI),CSCI 1025,Introduction to Computer Science: Cybersecurity,3,False
,False,Computer Science (CSCI),CSCI 1030,Introduction to Computer Science: Game Design,3,False
,False,Computer Science (CSCI),CSCI 1040,Introduction to Computer Science: Mobile Computing,3,False
,False,Computer Science (CSCI),CSCI 1050,Introduction to Computer Science: Multimedia,3,False
"MATH 1510, MATH 1320, MATH 1520, MATH 2530",True,Computer Science (CSCI),CSCI 1060,Introduction to Computer Science: Scientific Programming,3,False
,False,Computer Science (CSCI),CSCI 1070,Introduction to Computer Science: Taming Big Data,3,False
,False,Computer Science (CSCI),CSCI 1080,Introduction to Computer Science: World Wide Web,3,False
,False,Computer Science (CSCI),CSCI 1090,Introduction to Computer Science: Special Topics,3,True
"CSCI 1010, BME 2000, CVNG 1500, MATH 3850, STAT 3850, ECE 1001, GIS 4090, MATH 1200, MATH 1320",False,Computer Science (CSCI),CSCI 1300,Introduction to Object-Oriented Programming,4,False
,False,Computer Science (CSCI),CSCI 1930,Special Topics,4,True
,False,Computer Science (CSCI),CSCI 1980,Independent Study,3,True
PHIL 2050,False,Computer Science (CSCI),CSCI 2050,Computer Ethics,3,False
"CSCI 1300, MATH 1660",True,Computer Science (CSCI),CSCI 2100,Data Structures,4,False
CSCI 2100,False,Computer Science (CSCI),CSCI 2190,Computational Problem Solving,1,False
CSCI 2100,False,Computer Science (CSCI),CSCI 2300,Object-Oriented Software Design,3,False
CSCI 2100,True,Computer Science (CSCI),CSCI 2500,Computer Organization and Systems,3,False
"CSCI 2500, ECE 2205, ECE 3217, ECE 3225",False,Computer Science (CSCI),CSCI 2510,Principles of Computing Systems,3,False
,False,Computer Science (CSCI),CSCI 2930,Special Topics,4,True
,False,Computer Science (CSCI),CSCI 2980,Independent Study,3,True
PHIL 2050,False,Computer Science (CSCI),CSCI 3050,Computer Ethics,3,False
"CSCI 2100, MATH 1660, MATH 1510, MATH 1520, MATH 2530",False,Computer Science (CSCI),CSCI 3100,Algorithms,3,False
CSCI 2300,False,Computer Science (CSCI),CSCI 3200,Programming Languages,3,False
"ECE 3217, CSCI 2100",False,Computer Science (CSCI),CSCI 3250,Compilers,3,False
CSCI 2300,False,Computer Science (CSCI),CSCI 3300,Software Engineering,3,False
"CSCI 2100, ECE 3217",False,Computer Science (CSCI),CSCI 3500,Operating Systems,3,False
CSCI 2100,False,Computer Science (CSCI),CSCI 3710,Databases,3,False
,False,Computer Science (CSCI),CSCI 3910,Internship with Industry,6,True
,False,Computer Science (CSCI),CSCI 3930,Special Topics,4,True
,False,Computer Science (CSCI),CSCI 3980,Independent Study,3,True
CSCI 3100,False,Computer Science (CSCI),CSCI 4120,Advanced Data Structures,3,False
CSCI 3300,False,Computer Science (CSCI),CSCI 4310,Software Architecture,3,False
CSCI 2300,False,Computer Science (CSCI),CSCI 4360,Web Technologies,3,False
CSCI 2510,False,Computer Science (CSCI),CSCI 4500,Advanced Operating Systems,3,False
"CSCI 2510, CSCI 3500",False,Computer Science (CSCI),CSCI 4530,Computer Security,3,False
"CSCI 2510, CSCI 3500",False,Computer Science (CSCI),CSCI 4550,Computer Networks,3,False
"CSCI 2510, CSCI 3500",False,Computer Science (CSCI),CSCI 4610,Concurrent and Parallel Programming,3,False
CSCI 2510,False,Computer Science (CSCI),CSCI 4620,Distributed Computing,3,False
CSCI 2100,False,Computer Science (CSCI),CSCI 4710,Databases,3,False
CSCI 2100,False,Computer Science (CSCI),CSCI 4740,Artificial Intelligence,3,False
"STAT 3850, CSCI 2100, MATH 2530",False,Computer Science (CSCI),CSCI 4750,Machine Learning,3,False
CSCI 4750,False,Computer Science (CSCI),CSCI 4760,Deep Learning,3,False
"CSCI 2100, MATH 2530, MATH 3110, MATH 3120",False,Computer Science (CSCI),CSCI 4820,Computer Graphics,3,False
CSCI 2100,False,Computer Science (CSCI),CSCI 4830,Computer Vision,3,False
CSCI 4750,False,Computer Science (CSCI),CSCI 4845,Natural Language Processing,3,False
,False,Computer Science (CSCI),CSCI 4910,Internship with Industry,6,True
,False,Computer Science (CSCI),CSCI 4930,Special Topics,4,True
CSCI 2510,False,Computer Science (CSCI),CSCI 4961,Capstone Project I,2,False
CSCI 4961,False,Computer Science (CSCI),CSCI 4962,Capstone Project II,2,False
,False,Computer Science (CSCI),CSCI 4980,Advanced Independent Study,6,True
,False,Core -â€‹ University Undergraduate (CORE),CORE 1000,Ignite First Year Seminar,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 1005,Ignite First Year Seminar,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 1200,Eloquentia Perfecta 2: Oral and Visual Communication,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 1205,Public Speaking in Org. Life,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 1230,The Art of Creative Design,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 1500,Cura Personalis 1: Self in Community,1,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 1505,Cura Personalis 1: Self in Community,1,False
CORE 1500,True,Core -â€‹ University Undergraduate (CORE),CORE 1600,Ultimate Questions: Theology,3,False
CORE 1500,True,Core -â€‹ University Undergraduate (CORE),CORE 1605,The Big Questions in Theology,3,False
CORE 1500,True,Core -â€‹ University Undergraduate (CORE),CORE 1700,Ultimate Questions: Philosophy,3,False
CORE 1500,True,Core -â€‹ University Undergraduate (CORE),CORE 1705,The Big Questions in Philosophy,3,False
"ENGL 1500, EAP 1500",False,Core -â€‹ University Undergraduate (CORE),CORE 1900,Eloquentia Perfecta 1: Written and Visual Communication,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 1905,Eloquentia Perfecta 1: Written & Visual Communication,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 1930,Special Topics,6,False
CORE 1500,True,Core -â€‹ University Undergraduate (CORE),CORE 2500,Cura Personalis 2: Self in Contemplation,0,False
"CORE 1500, CORE 1000",True,Core -â€‹ University Undergraduate (CORE),CORE 2510,VITAS - Vocational Inquiry Through Advocacy and Service,1,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 2800,Eloquentia Perfecta 3: Creative Expression,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 2930,Special Topics,6,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 3200,Ways of Thinking: Quantitative Reasoning,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 3400,"Ways of Thinking: Aesthetics, History, and Culture",3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 3405,Reading in a Distracted Age,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 3415,The Presence of the Past,3,False
CORE 1500,False,Core -â€‹ University Undergraduate (CORE),CORE 3500,Cura Personalis 3: Self in the World,1,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 3600,Ways of Thinking: Social and Behavioral Sciences,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 3605,Social Sciences in Context,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 3800,Ways of Thinking: Natural and Applied Sciences,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 3930,Special Topics,6,False
"CORE 1000, CORE 1500",True,Core -â€‹ University Undergraduate (CORE),CORE 4000,Collaborative Inquiry,3,False
"CORE 1000, CORE 1500",True,Core -â€‹ University Undergraduate (CORE),CORE 4005,Persons & Problems in the Contemporary World,3,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 4500,Reflection-in-Action,0,False
,False,Core -â€‹ University Undergraduate (CORE),CORE 4930,Special Topics,6,False
,False,Criminology and Criminal Justice (CCJ),CCJ 1010,Introduction to Criminal Justice,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 1930,Special Topics,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 2050,Multiculturalism for Criminal Justice Professionals,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 2100,Multiculturalism for the Workplace,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 2150,Criminology: Nature of Crime,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 2200,Policing & Society,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 2250,Institutional & Community Corrections,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 2930,Special Topics,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 2939,"Violence, Crime & Justice",3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 2980,Independent Study,3,True
,False,Criminology and Criminal Justice (CCJ),CCJ 3100,Juvenile Justice & Delinquency,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3150,Contemporary Theories of Crime,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3200,Ethics in Criminal Justice,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3300,Corporate & White Collar Crime,3,False
"CORE 1000, CORE 1500",True,Criminology and Criminal Justice (CCJ),CCJ 3350,Understanding Serial Killers,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3400,Victimology & Victimization,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3401,American Incarceration,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3450,"Gender, Sexuality, and the Criminal Justice System",3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3500,"Race, Ethnicity, and the Criminal Justice System",3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3600,Mental Health & Crime,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3700,Research Methods in Criminology and Criminal Justice,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3750,Statistics in Criminology and Criminal Justice,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3800,Violence Against Women,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3930,Special Topics,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 3980,Independent Study,3,True
,False,Criminology and Criminal Justice (CCJ),CCJ 4050,Criminal Law & Procedure,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 4150,Criminal Investigations,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 4600,Mentored Research in CCJ,3,True
,False,Criminology and Criminal Justice (CCJ),CCJ 4910,Criminology and Criminal Justice Internship,6,False
,False,Criminology and Criminal Justice (CCJ),CCJ 4915,Externship in CCJ,3,True
,False,Criminology and Criminal Justice (CCJ),CCJ 4930,Special Topics,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 4960,Criminology and Criminal Justice Capstone,3,False
,False,Criminology and Criminal Justice (CCJ),CCJ 4980,Independent Study in CCJ,6,True
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 1930,Special Topics,3,True
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 2000,Children's Literature and Media,3,False
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 2930,Special Topics,3,True
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 2940,Portfolio Development I,0,False
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 2980,Independent Study,3,True
EDI 2000,False,Curriculum and Instruction and Teacher Education (EDI),EDI 3000,Foundations of Literacy and Language Arts,3,False
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 3001,English Language Learners in the Mainstream Classroom,3,False
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 3005,Child Language Acquisition,3,True
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 3010,Methods in Teaching Elementary Mathematics,3,False
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 3015,Creative Arts & Play,3,False
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 3020,Methods in Teaching Elementary Creative Arts and Movement,2,False
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 3030,Emergent Literacy,3,False
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 3050,An Interdisciplinary Immersion in Belize,1,False
,False,Curriculum and Instruction and Teacher Education (EDI),EDI 3060,Methods in Teaching Elementary Science,2,False
