Prerequisites,Concurrent Enrollment,Major,Course Name,Course Details,Credits,Repeatable
AENG 4110,False,Aerospace Engineering (AENG),AENG 4700,Aeroelasticity,3,False
,False,Aerospace Engineering (AENG),AENG 4800,Systems Engineering,3,False
AENG 3910,False,Aerospace Engineering (AENG),AENG 4910,Co-op with Industry,0,True
"CORE 1000, CORE 1500",True,Aerospace Engineering (AENG),AENG 4915,Internship with Industry,3,True
,False,Aerospace Engineering (AENG),AENG 4930,Special Topics in Aerospace Engineering,3,True
,False,Aerospace Engineering (AENG),AENG 4980,Independent Study,3,True
,False,Aerospace Studies (AES),AES 1010,Heritage and Values of the United States Air Force 1,2,False
,False,Aerospace Studies (AES),AES 1020,Heritage and Values of the United States Air Force 2,2,False
,False,Aerospace Studies (AES),AES 2010,Team and Leadership Fundamentals 1,2,False
,False,Aerospace Studies (AES),AES 2020,Team and Leadership Fundamentals 2,2,False
,False,Aerospace Studies (AES),AES 2220,Special Topics,0,True
,False,Aerospace Studies (AES),AES 2980,Independent Study,3,True
"AES 1010, AES 2010",False,Aerospace Studies (AES),AES 3010,Leading People and Effective Communication 1,3,False
,False,Aerospace Studies (AES),AES 3020,Leading People and Effective Communication 2,3,False
,False,Aerospace Studies (AES),AES 3930,Special Topics,3,True
,False,Aerospace Studies (AES),AES 3980,Independent Study,3,True
,False,Aerospace Studies (AES),AES 4010,National Security Affairs / Preparation for Active Duty,3,False
,False,Aerospace Studies (AES),AES 4020,Preparation for Active Duty,3,False
,False,Aerospace Studies (AES),AES 4930,Special Topics,3,True
,False,Aerospace Studies (AES),AES 4980,Independent Study,3,True
,False,African American Studies (AAM),AAM 2000,Freedom Dreams: Intro to African American Studies,3,False
,False,African American Studies (AAM),AAM 2010,Contemporary Black America,3,False
,False,African American Studies (AAM),AAM 2120,Survey of Art in Africa,3,False
,False,African American Studies (AAM),AAM 2220,Introduction to African-American Art,3,False
,False,African American Studies (AAM),AAM 2520,Intro to African Politics,3,False
,False,African American Studies (AAM),AAM 2570,"Race, Gender, and Health Care",3,False
,False,African American Studies (AAM),AAM 2800,Making the Carceral State: The History of Mass Incarceration,3,False
,False,African American Studies (AAM),AAM 2900,Intergroup Dialogue: Black Male Identity,3,False
,False,African American Studies (AAM),AAM 2930,Special Topics,3,True
,False,African American Studies (AAM),AAM 2980,Independent Study,3,True
,False,African American Studies (AAM),AAM 3200,Cultures of the African Diaspora,3,False
,False,African American Studies (AAM),AAM 3240,History of Africa since 1884,3,False
,False,African American Studies (AAM),AAM 3250,Critical History of African American Education,3,False
,False,African American Studies (AAM),AAM 3270,Dismantling Oppression: Exploring Equity & Inclusion,3,False
,False,African American Studies (AAM),AAM 3300X,African American Literary Traditions II: After 1900,3,False
,False,African American Studies (AAM),AAM 3350,African American Religious Traditions,3,False
,False,African American Studies (AAM),AAM 3360,Race & Ethnicity,3,False
,False,African American Studies (AAM),AAM 3510,Theoretical Foundations of African American Studies,3,False
,False,African American Studies (AAM),AAM 3610,Civil Rights in America,3,False
,False,African American Studies (AAM),AAM 3730,African Diaspora Writing,3,True
"CORE 1000, CORE 1500",True,African American Studies (AAM),AAM 3910,Internship,6,True
"CORE 1000, CORE 1500",True,African American Studies (AAM),AAM 3913,Atlas Internship,6,True
,False,African American Studies (AAM),AAM 3930,Special Topics,3,True
,False,African American Studies (AAM),AAM 3980,Independent Study,3,True
,False,African American Studies (AAM),AAM 4000,Field Service - Community Activism in St. Louis High Schools,3,False
,False,African American Studies (AAM),AAM 4200,History of African American Cinema,3,False
,False,African American Studies (AAM),AAM 4330,Psychology of Oppression,3,False
PSY 1010,False,African American Studies (AAM),AAM 4340,African American Psychology,3,False
,False,African American Studies (AAM),AAM 4380,POST 1900 AMERICAN LITERATURE,3,False
,False,African American Studies (AAM),AAM 4800,Civil Rights Era/Leaders,3,False
,False,African American Studies (AAM),AAM 4810,Philosophy and Race,3,False
,False,African American Studies (AAM),AAM 4890,Language and Black Womanhood,3,False
"CORE 1000, CORE 1500",True,African American Studies (AAM),AAM 4910,Internship,6,True
,False,African American Studies (AAM),AAM 4930,Special Topics,3,True
,False,African American Studies (AAM),AAM 4960,Capstone Course,3,False
,False,African American Studies (AAM),AAM 4970,Research Methods in African American Studies,3,False
,False,African American Studies (AAM),AAM 4980,Advanced Independent Study: Research,3,True
,False,American Studies (ASTD),ASTD 1000,"Intro to American Culture: Movements, Myths, and Methods",3,False
,False,American Studies (ASTD),ASTD 1930,Special Topics,4,True
,False,American Studies (ASTD),ASTD 1980,Independent Study,3,True
,False,American Studies (ASTD),ASTD 2100,Studies in American Photography,3,False
,False,American Studies (ASTD),ASTD 2200,"American Homefronts, Global Wars",3,False
,False,American Studies (ASTD),ASTD 2300,Americans Abroad,3,False
,False,American Studies (ASTD),ASTD 2400,Immigration in U.S. History and Culture,3,False
,False,American Studies (ASTD),ASTD 2500,American Identities,9,False
,False,American Studies (ASTD),ASTD 2600,American Places,9,False
,False,American Studies (ASTD),ASTD 2650,"American Metropolis: Place, Policy, & Power in the US City, 1945–Present",3,False
,False,American Studies (ASTD),ASTD 2700,"Gender, Race, and Social Justice",3,False
,False,American Studies (ASTD),ASTD 2800,Sports in American Culture,3,False
,False,American Studies (ASTD),ASTD 2880,Race and Citizenship in St. Louis History and Culture,3,False
,False,American Studies (ASTD),ASTD 2930,Special Topics,3,True
,False,American Studies (ASTD),ASTD 2980,Independent Study,3,True
,False,American Studies (ASTD),ASTD 3000,American Decades,3,True
,False,American Studies (ASTD),ASTD 3020,American Mosaic: Literature & Diversity,3,False
,False,American Studies (ASTD),ASTD 3030,History and Fiction,3,True
,False,American Studies (ASTD),ASTD 3040,Religion and U.S. Global Activism,3,False
,False,American Studies (ASTD),ASTD 3050,American Soundscapes,3,True
,False,American Studies (ASTD),ASTD 3100,Making the American City,3,False
,False,American Studies (ASTD),ASTD 3200,The Urban Crisis,3,False
,False,American Studies (ASTD),ASTD 3300,Workshop in the City,3,False
,False,American Studies (ASTD),ASTD 3400,American Incarceration,3,False
,False,American Studies (ASTD),ASTD 3500,Religion & American Culture,3,False
,False,American Studies (ASTD),ASTD 3550,Introduction to Museum Studies,3,False
,False,American Studies (ASTD),ASTD 3600,American Food and Cultures,3,False
,False,American Studies (ASTD),ASTD 3700,America in the Global Age,3,False
,False,American Studies (ASTD),ASTD 3800,Women's Lives,3,False
,False,American Studies (ASTD),ASTD 3900,Multiracial America,3,False
,False,American Studies (ASTD),ASTD 3910,Internship in American Studies,3,False
,False,American Studies (ASTD),ASTD 3930,Special Topics,3,True
,False,American Studies (ASTD),ASTD 3980,Independent Study,3,True
,False,American Studies (ASTD),ASTD 4930,Special Topics,12,False
,False,American Studies (ASTD),ASTD 4960,Senior Workshop: Crafting the American Studies Thesis,3,False
,False,American Studies (ASTD),ASTD 4980,Advanced Independent Study,3,True
,False,Anatomy (ANAT),ANAT 1000,Basic Human Anatomy,3,False
,False,Anatomy (ANAT),ANAT 4000,Human Gross Anatomy,6,False
,False,Anatomy (ANAT),ANAT 4300,AHP Neurosciences,4,False
,False,Anatomy (ANAT),ANAT 4980,Advanced Independent Study,4,True
,False,Anesthesiology (AN),AN 0302,Anesthesiology Career Exploration,2,True
,False,Anesthesiology (AN),AN 0304,Anesthesiology Career Exploration - Comprehensive Anesthesia Care,4,True
,False,Anesthesiology (AN),AN 0307,Anesthesiology Career Exploration - Clinical Practices in Pain Management,2,False
,False,Anesthesiology (AN),AN 0403,General Anesthesiology,12,True
,False,Anesthesiology (AN),AN 0404,Pediatric Anesthesiology,12,False
,False,Anesthesiology (AN),AN 0407,Anesthesia Critical Care,12,False
,False,Anesthesiology (AN),AN 0408,Regional Anesthesia,4,True
,False,Anesthesiology (AN),AN 0409,Clinical Practices in Pain Management,4,False
,False,Anesthesiology (AN),AN 0901,Anesthesiology Direct Patient Care,12,True
,False,Anesthesiology (AN),AN 0903,Anesthesiology Research,12,True
,False,Anthropology (ANTH),ANTH 1200,Introduction to Anthropology,3,False
,False,Anthropology (ANTH),ANTH 1210,"Humans Past, Present, and Future: Introduction to Anthropology",3,False
,False,Anthropology (ANTH),ANTH 1930,Special Topics,3,True
,False,Anthropology (ANTH),ANTH 2080,Urban Issues: Poverty and Unemployment,3,False
,False,Anthropology (ANTH),ANTH 2200,Cultural Anthropology,3,False
,False,Anthropology (ANTH),ANTH 2210,Biological Anthropology,3,False
ANTH 2210,True,Anthropology (ANTH),ANTH 2215,Biological Anthropology Lab,1,False
,False,Anthropology (ANTH),ANTH 2240,Archaeology,3,False
,False,Anthropology (ANTH),ANTH 2400,Linguistic Anthropology,3,False
,False,Anthropology (ANTH),ANTH 2460,Global Mental Health,3,False
,False,Anthropology (ANTH),ANTH 2470,Medical Anthropology,3,False
,False,Anthropology (ANTH),ANTH 2930,Special Topics,3,True
,False,Anthropology (ANTH),ANTH 2980,Independent Study,3,True
ANTH 1200,False,Anthropology (ANTH),ANTH 3200,Anthropological Theory,3,False
,False,Anthropology (ANTH),ANTH 3210,Science and Pseudoscience,3,False
,False,Anthropology (ANTH),ANTH 3240,Anthropology of Sex & Gender,3,False
